,n,mse,hit
SPY,4200.0,0.00013145107368472964,0.4769047619047619
TLT.O,4200.0,0.00017064322310034186,0.495952380952381
GLD,4200.0,0.00014929308963473886,0.48857142857142855
XLE,4200.0,0.00041414209408685565,0.47833333333333333
