,n,mse,hit
SPY,4260.0,0.00011948039173148572,0.47863849765258215
TLT.O,4260.0,9.687047713669017e-05,0.4791079812206573
GLD,4260.0,0.00011080953845521435,0.4960093896713615
XLE,4260.0,0.00030664372025057673,0.4866197183098592
