fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,0.00020140231936238706,0.36666666666666664
1,2010-01-06,2010-02-04,2010-04-28,1300,60,0.00014012586325407028,0.4166666666666667
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00045311538269743323,0.6
3,2010-06-23,2010-07-22,2010-10-13,1420,60,0.00020836184557992965,0.55
4,2010-09-15,2010-10-14,2011-01-05,1480,60,9.496910206507891e-05,0.6166666666666667
5,2010-12-08,2011-01-06,2011-03-30,1540,60,0.00017419742653146386,0.45
6,2011-03-02,2011-03-31,2011-06-22,1600,60,0.00017849700816441327,0.43333333333333335
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.0007469466072507203,0.4
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.0006382613792084157,0.5333333333333333
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.00013664101425092667,0.5333333333333333
10,2012-02-01,2012-03-01,2012-05-23,1840,60,0.00010931061115115881,0.55
11,2012-04-25,2012-05-24,2012-08-15,1900,60,0.00020677433349192142,0.55
12,2012-07-18,2012-08-16,2012-11-07,1960,60,0.00012397312093526125,0.5
13,2012-10-10,2012-11-08,2013-01-30,2020,60,0.00011611892114160582,0.43333333333333335
14,2013-01-02,2013-01-31,2013-04-24,2080,60,0.00015435018576681614,0.4
15,2013-03-27,2013-04-25,2013-07-17,2140,60,9.948066872311756e-05,0.48333333333333334
16,2013-06-19,2013-07-18,2013-10-09,2200,60,5.90339805057738e-05,0.48333333333333334
17,2013-09-11,2013-10-10,2014-01-01,2260,60,7.18052324373275e-05,0.55
18,2013-12-04,2014-01-02,2014-03-26,2320,60,7.890948472777382e-05,0.5333333333333333
19,2014-02-26,2014-03-27,2014-06-18,2380,60,4.220863775117323e-05,0.6166666666666667
20,2014-05-21,2014-06-19,2014-09-10,2440,60,8.118610276142135e-05,0.4166666666666667
21,2014-08-13,2014-09-11,2014-12-03,2500,60,0.0002636378339957446,0.5166666666666667
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.0002821673406288028,0.5333333333333333
23,2015-01-28,2015-02-26,2015-05-20,2620,60,0.00011073106725234538,0.5
24,2015-04-22,2015-05-21,2015-08-12,2680,60,0.0001359543966827914,0.5833333333333334
25,2015-07-15,2015-08-13,2015-11-04,2740,60,0.0004134009650442749,0.5333333333333333
26,2015-10-07,2015-11-05,2016-01-27,2800,60,0.00045077098184265196,0.5
27,2015-12-30,2016-01-28,2016-04-20,2860,60,0.0002925707376562059,0.5666666666666667
28,2016-03-23,2016-04-21,2016-07-13,2920,60,0.00017711771943140775,0.5666666666666667
29,2016-06-15,2016-07-14,2016-10-05,2980,60,0.00017084948194678873,0.55
30,2016-09-07,2016-10-06,2016-12-28,3040,60,0.00012182574573671445,0.45
31,2016-11-30,2016-12-29,2017-03-22,3100,60,8.716773299966007e-05,0.4666666666666667
32,2017-02-22,2017-03-23,2017-06-14,3160,60,9.027770283864811e-05,0.4
33,2017-05-17,2017-06-15,2017-09-06,3220,60,6.053293327568099e-05,0.5166666666666667
34,2017-08-09,2017-09-07,2017-11-29,3280,60,5.0717346312012523e-05,0.4166666666666667
35,2017-11-01,2017-11-30,2018-02-21,3340,60,0.00017268028750550002,0.4666666666666667
36,2018-01-24,2018-02-22,2018-05-16,3400,60,0.00014934407954569906,0.43333333333333335
37,2018-04-18,2018-05-17,2018-08-08,3460,60,0.00013093742018099874,0.55
38,2018-07-11,2018-08-09,2018-10-31,3520,60,0.00016101640358101577,0.4166666666666667
39,2018-10-03,2018-11-01,2019-01-23,3580,60,0.0003476797428447753,0.4
40,2018-12-26,2019-01-24,2019-04-17,3640,60,0.00010520208888920024,0.5333333333333333
41,2019-03-20,2019-04-18,2019-07-10,3700,60,0.0001325783523498103,0.45
42,2019-06-12,2019-07-11,2019-10-02,3760,60,0.00019279817934148014,0.5166666666666667
43,2019-09-04,2019-10-03,2019-12-25,3820,60,0.00013053514703642577,0.38333333333333336
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.0025676689110696316,0.5166666666666667
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.002520219888538122,0.4666666666666667
46,2020-05-13,2020-06-11,2020-09-02,4000,60,0.00047102264943532646,0.55
47,2020-08-05,2020-09-03,2020-11-25,4060,60,0.0010373040568083525,0.45
48,2020-10-28,2020-11-26,2021-02-17,4120,60,0.0005389875150285661,0.43333333333333335
49,2021-01-20,2021-02-18,2021-05-12,4180,60,0.00041452012374065816,0.4166666666666667
50,2021-04-14,2021-05-13,2021-08-04,4240,60,0.00034970074193552136,0.5166666666666667
51,2021-07-07,2021-08-05,2021-10-27,4300,60,0.0003011815424542874,0.5666666666666667
52,2021-09-29,2021-10-28,2022-01-19,4360,60,0.00026219472056254745,0.5166666666666667
53,2021-12-22,2022-01-20,2022-04-13,4420,60,0.0003414361854083836,0.5833333333333334
54,2022-03-16,2022-04-14,2022-07-06,4480,60,0.0007626835722476244,0.5333333333333333
55,2022-06-08,2022-07-07,2022-09-28,4540,60,0.0005326125537976623,0.5166666666666667
56,2022-08-31,2022-09-29,2022-12-21,4600,60,0.0004598014347720891,0.48333333333333334
57,2022-11-23,2022-12-22,2023-03-15,4660,60,0.0003663050301838666,0.4666666666666667
58,2023-02-15,2023-03-16,2023-06-07,4720,60,0.0003031063824892044,0.5
59,2023-05-10,2023-06-08,2023-08-30,4780,60,0.00012830126797780395,0.48333333333333334
60,2023-08-02,2023-08-31,2023-11-22,4840,60,0.0001938041823450476,0.4166666666666667
61,2023-10-25,2023-11-23,2024-02-14,4900,60,0.00013794288679491729,0.43333333333333335
62,2024-01-17,2024-02-15,2024-05-08,4960,60,0.00012540143507067114,0.36666666666666664
63,2024-04-10,2024-05-09,2024-07-31,5020,60,0.00011335049202898517,0.4666666666666667
64,2024-07-03,2024-08-01,2024-10-23,5080,60,0.00017866183770820498,0.4166666666666667
65,2024-09-25,2024-10-24,2025-01-15,5140,60,0.0001258702395716682,0.4166666666666667
66,2024-12-18,2025-01-16,2025-04-09,5200,60,0.0006101642502471805,0.48333333333333334
67,2025-03-12,2025-04-10,2025-07-02,5260,60,0.00016866762598510832,0.43333333333333335
68,2025-06-04,2025-07-03,2025-09-24,5320,60,0.00010835587454494089,0.4666666666666667
69,2025-08-27,2025-09-25,2025-12-17,5380,60,0.0001379945024382323,0.45
70,2025-11-19,2025-12-18,2026-03-11,5440,60,0.00016828007937874645,0.5333333333333333
