fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,8.484561840305105e-05,0.5666666666666667
1,2010-01-06,2010-02-04,2010-04-28,1300,60,4.466237442102283e-05,0.4666666666666667
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.0001143471963587217,0.5333333333333333
3,2010-06-23,2010-07-22,2010-10-13,1420,60,0.000133290232042782,0.5
4,2010-09-15,2010-10-14,2011-01-05,1480,60,0.00013147128629498184,0.5333333333333333
5,2010-12-08,2011-01-06,2011-03-30,1540,60,6.005152681609616e-05,0.5333333333333333
6,2011-03-02,2011-03-31,2011-06-22,1600,60,5.276644878904335e-05,0.55
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.00028996821492910385,0.5666666666666667
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.0002423452096991241,0.5
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.00010933924932032824,0.5166666666666667
10,2012-02-01,2012-03-01,2012-05-23,1840,60,9.896817209664732e-05,0.5
11,2012-04-25,2012-05-24,2012-08-15,1900,60,9.570011025061831e-05,0.48333333333333334
12,2012-07-18,2012-08-16,2012-11-07,1960,60,7.810675742803141e-05,0.5666666666666667
13,2012-10-10,2012-11-08,2013-01-30,2020,60,4.7004734369693324e-05,0.48333333333333334
14,2013-01-02,2013-01-31,2013-04-24,2080,60,5.418020373326726e-05,0.5333333333333333
15,2013-03-27,2013-04-25,2013-07-17,2140,60,0.0001142570108640939,0.4666666666666667
16,2013-06-19,2013-07-18,2013-10-09,2200,60,6.5552034357097e-05,0.5333333333333333
17,2013-09-11,2013-10-10,2014-01-01,2260,60,5.339241397450678e-05,0.4666666666666667
18,2013-12-04,2014-01-02,2014-03-26,2320,60,3.775991717702709e-05,0.5666666666666667
19,2014-02-26,2014-03-27,2014-06-18,2380,60,3.686797936097719e-05,0.5166666666666667
20,2014-05-21,2014-06-19,2014-09-10,2440,60,4.0279341192217544e-05,0.6
21,2014-08-13,2014-09-11,2014-12-03,2500,60,4.919228740618564e-05,0.45
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.0001105030532926321,0.4
23,2015-01-28,2015-02-26,2015-05-20,2620,60,0.00011224467743886635,0.48333333333333334
24,2015-04-22,2015-05-21,2015-08-12,2680,60,0.00011497818195493892,0.4166666666666667
25,2015-07-15,2015-08-13,2015-11-04,2740,60,6.786615995224565e-05,0.4666666666666667
26,2015-10-07,2015-11-05,2016-01-27,2800,60,6.556480366270989e-05,0.45
27,2015-12-30,2016-01-28,2016-04-20,2860,60,7.174840720836073e-05,0.5666666666666667
28,2016-03-23,2016-04-21,2016-07-13,2920,60,7.630570326000452e-05,0.43333333333333335
29,2016-06-15,2016-07-14,2016-10-05,2980,60,4.541643647826277e-05,0.5833333333333334
30,2016-09-07,2016-10-06,2016-12-28,3040,60,7.851408008718863e-05,0.55
31,2016-11-30,2016-12-29,2017-03-22,3100,60,5.046445949119516e-05,0.43333333333333335
32,2017-02-22,2017-03-23,2017-06-14,3160,60,3.6500019632512704e-05,0.45
33,2017-05-17,2017-06-15,2017-09-06,3220,60,3.523554187268019e-05,0.45
34,2017-08-09,2017-09-07,2017-11-29,3280,60,3.230864604120143e-05,0.5833333333333334
35,2017-11-01,2017-11-30,2018-02-21,3340,60,4.5774722821079195e-05,0.4666666666666667
36,2018-01-24,2018-02-22,2018-05-16,3400,60,3.20035578624811e-05,0.5166666666666667
37,2018-04-18,2018-05-17,2018-08-08,3460,60,3.682544411276467e-05,0.6333333333333333
38,2018-07-11,2018-08-09,2018-10-31,3520,60,3.565637598512694e-05,0.38333333333333336
39,2018-10-03,2018-11-01,2019-01-23,3580,60,2.849682277883403e-05,0.48333333333333334
40,2018-12-26,2019-01-24,2019-04-17,3640,60,3.744560308405198e-05,0.5333333333333333
41,2019-03-20,2019-04-18,2019-07-10,3700,60,3.62842038157396e-05,0.5166666666666667
42,2019-06-12,2019-07-11,2019-10-02,3760,60,8.314370643347502e-05,0.6666666666666666
43,2019-09-04,2019-10-03,2019-12-25,3820,60,6.911045784363523e-05,0.43333333333333335
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.00037292425986379385,0.5
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.0002408151631243527,0.5833333333333334
46,2020-05-13,2020-06-11,2020-09-02,4000,60,5.529665941139683e-05,0.5166666666666667
47,2020-08-05,2020-09-03,2020-11-25,4060,60,7.719545828877017e-05,0.45
48,2020-10-28,2020-11-26,2021-02-17,4120,60,5.187766146264039e-05,0.5333333333333333
49,2021-01-20,2021-02-18,2021-05-12,4180,60,8.823706593830138e-05,0.55
50,2021-04-14,2021-05-13,2021-08-04,4240,60,6.485202902695164e-05,0.5166666666666667
51,2021-07-07,2021-08-05,2021-10-27,4300,60,6.187018880154938e-05,0.65
52,2021-09-29,2021-10-28,2022-01-19,4360,60,0.00010410496906843036,0.45
53,2021-12-22,2022-01-20,2022-04-13,4420,60,0.00014596998516935855,0.5166666666666667
54,2022-03-16,2022-04-14,2022-07-06,4480,60,0.00015426563913933933,0.55
55,2022-06-08,2022-07-07,2022-09-28,4540,60,0.00017429621948394924,0.5166666666666667
56,2022-08-31,2022-09-29,2022-12-21,4600,60,0.0001539490622235462,0.6666666666666666
57,2022-11-23,2022-12-22,2023-03-15,4660,60,0.00014708675735164434,0.5
58,2023-02-15,2023-03-16,2023-06-07,4720,60,0.00010094288882100955,0.4666666666666667
59,2023-05-10,2023-06-08,2023-08-30,4780,60,9.07624198589474e-05,0.5166666666666667
60,2023-08-02,2023-08-31,2023-11-22,4840,60,0.00018175484728999436,0.55
61,2023-10-25,2023-11-23,2024-02-14,4900,60,0.00010536387708270922,0.48333333333333334
62,2024-01-17,2024-02-15,2024-05-08,4960,60,6.609057891182601e-05,0.43333333333333335
63,2024-04-10,2024-05-09,2024-07-31,5020,60,8.544243610231206e-05,0.4666666666666667
64,2024-07-03,2024-08-01,2024-10-23,5080,60,6.569412653334439e-05,0.6333333333333333
65,2024-09-25,2024-10-24,2025-01-15,5140,60,8.650500967632979e-05,0.43333333333333335
66,2024-12-18,2025-01-16,2025-04-09,5200,60,8.410844020545483e-05,0.5
67,2025-03-12,2025-04-10,2025-07-02,5260,60,5.839617733727209e-05,0.6166666666666667
68,2025-06-04,2025-07-03,2025-09-24,5320,60,4.380847894935869e-05,0.5333333333333333
69,2025-08-27,2025-09-25,2025-12-17,5380,60,3.0274351956904866e-05,0.4666666666666667
70,2025-11-19,2025-12-18,2026-03-11,5440,60,3.0208977477741428e-05,0.5333333333333333
