,n,mse,hit
SPY,4260.0,0.00011911978799616918,0.5276995305164319
TLT.O,4260.0,8.815257751848549e-05,0.5136150234741784
GLD,4260.0,0.0001069613135769032,0.5152582159624414
XLE,4260.0,0.00028711315826512873,0.5110328638497652
