fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-15,2009-11-13,2010-02-04,1240,60,5.745666027069092,0.5
1,2010-01-07,2010-02-05,2010-04-29,1300,60,6.108235836029053,0.26666666666666666
2,2010-04-01,2010-04-30,2010-07-22,1360,60,5.61959981918335,0.6
3,2010-06-24,2010-07-23,2010-10-14,1420,60,3.596381902694702,0.45
4,2010-09-16,2010-10-15,2011-01-06,1480,60,5.978326797485352,0.18333333333333332
5,2010-12-09,2011-01-07,2011-03-31,1540,60,6.0335917472839355,0.48333333333333334
6,2011-03-03,2011-04-01,2011-06-23,1600,60,5.567549228668213,0.6166666666666667
7,2011-05-26,2011-06-24,2011-09-15,1660,60,13.230025291442871,0.6166666666666667
8,2011-08-18,2011-09-16,2011-12-08,1720,60,4.002033710479736,0.6333333333333333
9,2011-11-10,2011-12-09,2012-03-01,1780,60,3.4606168270111084,0.5166666666666667
10,2012-02-02,2012-03-02,2012-05-24,1840,60,6.747077941894531,0.55
11,2012-04-26,2012-05-25,2012-08-16,1900,60,4.673539161682129,0.35
12,2012-07-19,2012-08-17,2012-11-08,1960,60,7.709033489227295,0.5833333333333334
13,2012-10-11,2012-11-09,2013-01-31,2020,60,4.931640625,0.31666666666666665
14,2013-01-03,2013-02-01,2013-04-25,2080,60,4.634228706359863,0.5333333333333333
15,2013-03-28,2013-04-26,2013-07-18,2140,60,4.655832290649414,0.4166666666666667
16,2013-06-20,2013-07-19,2013-10-10,2200,60,7.83198881149292,0.5166666666666667
17,2013-09-12,2013-10-11,2014-01-02,2260,60,5.210300922393799,0.2833333333333333
18,2013-12-05,2014-01-03,2014-03-27,2320,60,5.416834354400635,0.6333333333333333
19,2014-02-27,2014-03-28,2014-06-19,2380,60,4.425333499908447,0.43333333333333335
20,2014-05-22,2014-06-20,2014-09-11,2440,60,5.297171115875244,0.4
21,2014-08-14,2014-09-12,2014-12-04,2500,60,8.847566604614258,0.6333333333333333
22,2014-11-06,2014-12-05,2015-02-26,2560,60,10.73403263092041,0.5166666666666667
23,2015-01-29,2015-02-27,2015-05-21,2620,60,3.614575147628784,0.5333333333333333
24,2015-04-23,2015-05-22,2015-08-13,2680,60,3.073213815689087,0.5666666666666667
25,2015-07-16,2015-08-14,2015-11-05,2740,60,16.366748809814453,0.5333333333333333
26,2015-10-08,2015-11-06,2016-01-28,2800,60,4.553189277648926,0.55
27,2015-12-31,2016-01-29,2016-04-21,2860,60,3.416323661804199,0.4666666666666667
28,2016-03-24,2016-04-22,2016-07-14,2920,60,5.808175086975098,0.4
29,2016-06-16,2016-07-15,2016-10-06,2980,60,4.990832328796387,0.5166666666666667
30,2016-09-08,2016-10-07,2016-12-29,3040,60,7.236327648162842,0.55
31,2016-12-01,2016-12-30,2017-03-23,3100,60,8.24909496307373,0.35
32,2017-02-23,2017-03-24,2017-06-15,3160,60,3.6644034385681152,0.48333333333333334
33,2017-05-18,2017-06-16,2017-09-07,3220,60,2.7646560668945312,0.5666666666666667
34,2017-08-10,2017-09-08,2017-11-30,3280,60,7.217231750488281,0.26666666666666666
35,2017-11-02,2017-12-01,2018-02-22,3340,60,27.16980743408203,0.25
36,2018-01-25,2018-02-23,2018-05-17,3400,60,3.4082448482513428,0.6333333333333333
37,2018-04-19,2018-05-18,2018-08-09,3460,60,5.008261203765869,0.5166666666666667
38,2018-07-12,2018-08-10,2018-11-01,3520,60,16.184188842773438,0.6
39,2018-10-04,2018-11-02,2019-01-24,3580,60,6.638713359832764,0.5
40,2018-12-27,2019-01-25,2019-04-18,3640,60,4.557469844818115,0.21666666666666667
