,n,mse,hit
SPY,4260.0,0.000129856271087192,0.47769953051643194
TLT.O,4260.0,9.264123946195468e-05,0.4687793427230047
GLD,4260.0,0.0001087581185856834,0.4737089201877934
XLE,4260.0,0.00030311188311316073,0.4800469483568075
