fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,0.0001989094162127003,0.43333333333333335
1,2010-01-06,2010-02-04,2010-04-28,1300,60,0.0001125445487559773,0.45
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00013527781993616372,0.48333333333333334
3,2010-06-23,2010-07-22,2010-10-13,1420,60,5.838230572408065e-05,0.3333333333333333
4,2010-09-15,2010-10-14,2011-01-05,1480,60,0.00013002056221012026,0.4666666666666667
5,2010-12-08,2011-01-06,2011-03-30,1540,60,6.582382047781721e-05,0.55
6,2011-03-02,2011-03-31,2011-06-22,1600,60,7.387464575003833e-05,0.5
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.0002448208397254348,0.6
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.00025751470820978284,0.5166666666666667
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.0001831070549087599,0.5166666666666667
10,2012-02-01,2012-03-01,2012-05-23,1840,60,9.970601240638644e-05,0.45
11,2012-04-25,2012-05-24,2012-08-15,1900,60,9.276219498133287e-05,0.55
12,2012-07-18,2012-08-16,2012-11-07,1960,60,7.926374382805079e-05,0.43333333333333335
13,2012-10-10,2012-11-08,2013-01-30,2020,60,4.1647024772828445e-05,0.5
14,2013-01-02,2013-01-31,2013-04-24,2080,60,0.0002483381540514529,0.45
15,2013-03-27,2013-04-25,2013-07-17,2140,60,0.00024453277001157403,0.5333333333333333
16,2013-06-19,2013-07-18,2013-10-09,2200,60,0.0001744305045576766,0.5166666666666667
17,2013-09-11,2013-10-10,2014-01-01,2260,60,0.00012117505684727803,0.48333333333333334
18,2013-12-04,2014-01-02,2014-03-26,2320,60,9.072716784430668e-05,0.36666666666666664
19,2014-02-26,2014-03-27,2014-06-18,2380,60,6.354106881190091e-05,0.4166666666666667
20,2014-05-21,2014-06-19,2014-09-10,2440,60,6.000123903504573e-05,0.4166666666666667
21,2014-08-13,2014-09-11,2014-12-03,2500,60,0.0001281323638977483,0.5333333333333333
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.00011927326704608276,0.55
23,2015-01-28,2015-02-26,2015-05-20,2620,60,8.501621778123081e-05,0.4666666666666667
24,2015-04-22,2015-05-21,2015-08-12,2680,60,4.531427475740202e-05,0.5333333333333333
25,2015-07-15,2015-08-13,2015-11-04,2740,60,8.178401185432449e-05,0.2833333333333333
26,2015-10-07,2015-11-05,2016-01-27,2800,60,8.834184700390324e-05,0.43333333333333335
27,2015-12-30,2016-01-28,2016-04-20,2860,60,0.00016463152132928371,0.43333333333333335
28,2016-03-23,2016-04-21,2016-07-13,2920,60,0.00013577964273281395,0.5166666666666667
29,2016-06-15,2016-07-14,2016-10-05,2980,60,7.726377225480974e-05,0.36666666666666664
30,2016-09-07,2016-10-06,2016-12-28,3040,60,0.00012151108967373148,0.48333333333333334
31,2016-11-30,2016-12-29,2017-03-22,3100,60,3.925339478882961e-05,0.6
32,2017-02-22,2017-03-23,2017-06-14,3160,60,3.935028507839888e-05,0.4166666666666667
33,2017-05-17,2017-06-15,2017-09-06,3220,60,5.129923374624923e-05,0.38333333333333336
34,2017-08-09,2017-09-07,2017-11-29,3280,60,3.7860372685827315e-05,0.48333333333333334
35,2017-11-01,2017-11-30,2018-02-21,3340,60,3.468488284852356e-05,0.5333333333333333
36,2018-01-24,2018-02-22,2018-05-16,3400,60,5.5133397836470976e-05,0.4666666666666667
37,2018-04-18,2018-05-17,2018-08-08,3460,60,4.041815554955974e-05,0.43333333333333335
38,2018-07-11,2018-08-09,2018-10-31,3520,60,4.9293743359157816e-05,0.4
39,2018-10-03,2018-11-01,2019-01-23,3580,60,2.7161708203493617e-05,0.5
40,2018-12-26,2019-01-24,2019-04-17,3640,60,4.1381459595868364e-05,0.4666666666666667
41,2019-03-20,2019-04-18,2019-07-10,3700,60,6.675433542113751e-05,0.36666666666666664
42,2019-06-12,2019-07-11,2019-10-02,3760,60,9.094092092709616e-05,0.5
43,2019-09-04,2019-10-03,2019-12-25,3820,60,3.753124474314973e-05,0.55
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.00016409307136200368,0.6166666666666667
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.00020182467414997518,0.55
46,2020-05-13,2020-06-11,2020-09-02,4000,60,0.00014258002920541912,0.6
47,2020-08-05,2020-09-03,2020-11-25,4060,60,0.00011336649185977876,0.45
48,2020-10-28,2020-11-26,2021-02-17,4120,60,9.710476297186688e-05,0.45
49,2021-01-20,2021-02-18,2021-05-12,4180,60,7.801444735378027e-05,0.43333333333333335
